Tue, 08 Feb 2022 09:12:30 GMT | INFO  | Server is running on port: 3000
Tue, 08 Feb 2022 09:12:30 GMT | INFO  | Connected to database
Tue, 08 Feb 2022 09:22:18 GMT | INFO  | Server is running on port: 3000
Tue, 08 Feb 2022 09:22:18 GMT | INFO  | Connected to database
Tue, 08 Feb 2022 09:29:20 GMT | INFO  | Server is running on port: 3000
Tue, 08 Feb 2022 09:29:20 GMT | INFO  | Connected to database
Tue, 08 Feb 2022 09:33:32 GMT | INFO  | Server is running on port: 3000
Tue, 08 Feb 2022 09:33:33 GMT | INFO  | Connected to database
Tue, 08 Feb 2022 09:34:08 GMT | INFO  | Server is running on port: 3000
Tue, 08 Feb 2022 09:34:08 GMT | INFO  | Connected to database
Tue, 08 Feb 2022 09:36:53 GMT | INFO  | Server is running on port: 3000
Tue, 08 Feb 2022 09:36:53 GMT | INFO  | Connected to database
